FRAME,DIHEDROS
729,-110.87
730,-107.928
731,-138.966
732,-123.243
733,-110.09
734,-118.85
735,-130.313
736,-124.99
737,-135.718
738,-118.672
739,-120.326
740,-131.636
741,-117.584
742,-121.916
743,-113.15
744,-125.64
745,-129.953
746,-125.481
747,-123.321
748,-121.28
749,-126.066
750,-87.391
751,-119.389
752,-126.493
753,-116.624
754,-115.411
755,-128.223
756,-103.385
757,-112.167
758,-107.738
759,-132.522
760,-126.213
761,-121.855
762,-127.672
763,-120.859
764,-134.186
765,-112.354
766,-132.945
767,-102.148
768,-114.695
769,-112.982
770,-120.877
771,-127.054
772,-127.464
773,-128.937
774,-121.837
775,-125.615
776,-130.748
777,-114.999
778,-125.319
779,-116.424
780,-126.776
781,-116.274
782,-119.424
783,-125.87
784,-115.65
785,-137.452
786,-131.3
787,-104.753
788,-103.832
789,-127.022
790,-136.787
791,-117.683
792,-128.955
793,-108.387
794,-108.548
795,-109.71
796,-124.269
797,-116.782
798,-127.705
799,-120.307
800,-104.999
801,-96.229
802,-119.426
803,-110.374
804,-135.345
805,-119.037
806,-125.222
807,-121.776
808,-134.09
809,-116.695
810,-136.075
811,-108.655
812,-98.906
813,-139.231
814,-101.957
815,-115.393
816,-116.857
817,-127.771
818,-118.241
819,-120.662
820,-114.642
821,-143.107
822,-116.759
823,-118.802
824,-120.69
825,-91.882
826,-120.785
827,-108.946
828,-133.908
829,-117.384
830,-119.394
831,-111.086
832,-132.469
833,-99.906
834,-117.712
835,-87.631
836,-139.961
837,-121.791
838,-124.817
839,-112.664
840,-116.473
841,-124.02
842,-111.003
843,-111.232
844,-112.315
845,-128.011
846,-108.688
847,-93.133
848,-116.365
849,-108.998
850,-106.379
851,-95.949
852,-127.773
853,-113.62
854,-106.745
855,-125.275
856,-124.688
857,-116.816
858,-118.886
859,-135.816
860,-137.334
861,-128.881
862,-122.47
863,-123.742
864,-123.73
865,-92.45
866,-112.055
867,-114.728
868,-120.525
869,-123.519
870,-120.362
871,-114.715
872,-117.936
873,-118.893
874,-99.945
875,-121.377
876,-134.49
877,-126.159
878,-125.003
879,-118.805
880,-123.287
881,-123.249
882,-118.363
883,-117.261
884,-121.473
885,-124.621
886,-113.085
887,-109.357
888,-136.388
889,-104.052
890,-133.046
891,-116.297
892,-120.368
893,-112.519
894,-91.476
895,-116.326
896,-114.993
897,-120.193
898,-135.335
899,-113.938
900,-103.705
901,-128.005
902,-139.069
903,-103.384
904,-120.453
905,-106.964
906,-139.31
907,-125.535
908,-112.759
909,-109.758
910,-111.958
911,-122.922
912,-95.314
913,-126.564
914,-122.747
915,-121.603
916,-149.652
917,-103.405
918,-132.14
919,-116.037
920,-105.321
921,-118.719
922,-117.924
923,-119.324
924,-110.068
925,-114.261
926,-90.67
927,-130.325
928,-125.558
929,-100.702
930,-118.94
931,-107.225
932,-92.691
933,-127.654
934,-125.746
935,-134.874
936,-114.311
937,-123.003
938,-123.748
939,-108.788
940,-121.201
941,-130.011
942,-127.284
943,-106.713
944,-115.052
945,-106.042
946,-119.754
947,-127.103
948,-120.761
949,-130.572
950,-105.173
951,-134.337
952,-131.005
953,-104.784
954,-112.1
955,-117.611
956,-115.421
957,-128.304
958,-126.336
959,-119.915
960,-112.244
961,-110.803
962,-112.215
963,-104.788
964,-119.892
965,-102.401
966,-123.413
967,-125.35
968,-120.041
969,-102.314
970,-108.611
971,-115.239
972,-111.196
973,-128.298
974,-124.707
975,-114.783
976,-120.077
977,-129.717
978,-115.579
979,-116.435
980,-133.346
981,-128.906
982,-116.349
983,-121.456
984,-111.448
985,-130.645
986,-112.212
987,-115.099
988,-107.593
989,-124.456
990,-135.294
991,-131.283
992,-115.924
993,-116.267
994,-117.929
995,-117.421
996,-117.168
997,-128.748
998,-130.718
999,-121.632
1000,-107.957
1001,-133.182
1002,-115.243
1003,-141.964
1004,-127.288
1005,-111.1
1006,-117.011
1007,-128.056
1008,-129.666
1009,-122.083
1010,-116.822
1011,-125.537
1012,-106.595
1013,-128.737
1014,-119.232
1015,-108.082
1016,-113.817
1017,-126.291
1018,-110.628
1019,-111.72
1020,-119.452
1021,-119.567
1022,-117.92
1023,-118.419
1024,-112.809
1025,-121.801
1026,-115.575
1027,-124.936
1028,-118.389
1029,-116.154
1030,-131.386
1031,-95.186
1032,-107.478
1033,-114.042
1034,-101.746
1035,-117.913
1036,-138.189
1037,-120.879
1038,-99.957
1039,-123.84
1040,-115.07
1041,-132.19
1042,-111.715
1043,-113.835
1044,-102.168
1045,-125.497
1046,-111.658
1047,-116.724
1048,-124.307
1049,-118.937
1050,-124.398
1051,-113.699
1052,-127.17
1053,-128.742
1054,-111.171
1055,-115.892
1056,-131.363
1057,-107.987
1058,-120.222
1059,-111.672
1060,-130.752
1061,-122.847
1062,-109.512
1063,-127.171
1064,-133.656
1065,-117.588
1066,-114.331
1067,-125.52
1068,-112.434
1069,-120.626
1070,-133.406
1071,-119.604
1072,-105.672
1073,-132.904
1074,-115.286
1075,-122.51
1076,-140.157
