FRAME,DIHEDROS
620,-108.306
621,-113.124
622,-103.558
623,-102.911
624,-97.725
625,-113.435
626,-120.497
627,-97.165
628,-100.792
629,-117.678
630,-94.333
631,-115.996
632,-95.739
633,-101.191
634,-93.558
635,-107.259
636,-109.677
637,-116.135
638,-109.903
639,-96.227
640,-97.057
641,-111.275
642,-113.47
643,-105.464
644,-111.274
645,-95.683
646,-95.33
647,-131.525
648,-99.601
649,-108.697
650,-105.058
651,-126.237
652,-91.033
653,-101.997
654,-107.913
655,-107.02
656,-114.85
657,-102.281
658,-99.681
659,-103.642
660,-108.922
661,-102.015
662,-109.476
663,-102.426
664,-108.733
665,-120.67
666,-96.703
667,-109.824
668,-100.199
669,-134.513
670,-101.395
671,-112.41
672,-105.989
673,-109.245
674,-105.735
675,-98.829
676,-117.01
677,-114.733
678,-98.69
679,-99.124
680,-85.648
681,-105.012
682,-113.227
683,-89.252
684,-112.223
685,-80.085
686,-84.578
687,-98.754
688,-96.812
689,-104.713
690,-90.358
691,-106.323
692,-92.471
693,-118.897
694,-102.195
695,-96.842
696,-112.889
697,-108.63
698,-92.57
699,-99.487
700,-110.312
701,-110.986
702,-92.286
703,-115.654
704,-92.549
705,-108.582
706,-111.301
707,-117.493
708,-94.873
709,-89.676
710,-131.442
711,-93.558
712,-123.929
713,-109.954
714,-128.837
715,-115.595
716,-111.669
717,-107.327
718,-101.511
719,-102.121
720,-113.212
721,-110.435
722,-110.113
723,-101.55
724,-108.556
725,-117.799
726,-129.176
727,-113.461
728,-104.859
729,-107.16
730,-107.952
731,-107.231
732,-101.275
733,-98.761
734,-138.125
735,-89.77
736,-113.522
737,-105.378
738,-106.925
739,-110.979
740,-111.888
741,-110.77
742,-107.285
743,-102.746
744,-95.092
745,-109.091
746,-103.557
747,-108.679
748,-115.312
749,-105.975
750,-116.572
751,-87.192
752,-114.816
753,-104.063
754,-110.977
755,-117.629
756,-106.663
757,-102.621
758,-98.672
759,-90.755
760,-112.058
761,-112.682
762,-105.815
763,-99.561
764,-90.25
765,-96.678
766,-108.738
767,-95.904
768,-107.76
769,-100.813
770,-112.005
771,-111.561
772,-112.228
773,-110.024
774,-96.854
775,-112.987
776,-115.07
777,-110.42
778,-106.47
779,-105.642
780,-107.322
781,-108.673
782,-106.192
783,-98.086
784,-122.858
785,-105.969
786,-117.473
787,-101.143
788,-111.555
789,-96.891
790,-127.493
791,-106.403
792,-98.267
793,-91.123
794,-92.728
795,-107.989
796,-95.894
797,-102.137
798,-90.744
799,-97.444
800,-121.98
801,-110.746
802,-75.958
803,-92.14
804,-115.269
805,-110.968
806,-106.945
807,-107.976
808,-126.112
809,-102.725
810,-92.53
811,-101.375
812,-101.39
813,-101.2
814,-112.221
815,-107.676
816,-105.512
817,-103.451
818,-115.077
819,-117.582
820,-110.579
821,-105.685
822,-100.838
823,-94.734
824,-107.046
825,-128.518
826,-118.347
827,-116.314
828,-82.805
829,-116.876
830,-87.213
831,-101.214
832,-100.969
833,-113.328
834,-113.529
835,-97.716
836,-101.626
837,-113.957
838,-115.884
839,-96.331
840,-97.234
841,-102.981
842,-126.362
843,-123.967
844,-112.712
845,-108.617
846,-112.587
847,-112.61
848,-124.315
849,-114.452
850,-109.745
851,-111.682
852,-108.925
853,-97.243
854,-96.166
855,-112.314
856,-96.005
857,-93.798
858,-97.335
859,-93.105
860,-105.605
861,-101.353
862,-105.643
863,-101.627
864,-119.21
865,-109.64
866,-117.488
867,-109.791
868,-94.936
869,-99.486
870,-92.729
871,-118.327
872,-97.78
873,-121.644
874,-91.957
875,-122.903
876,-93.112
877,-78.792
878,-99.544
879,-93.744
880,-105.966
881,-94.169
882,-120.91
883,-87.474
884,-123.231
885,-119.31
886,-104.216
887,-91.341
888,-93.399
889,-98.857
890,-124.101
891,-124.978
892,-106.696
893,-115.781
894,-115.569
895,-109.722
896,-102.156
897,-95.222
898,-103.021
899,-112.162
900,-107.534
901,-107.809
902,-103.929
903,-105.625
904,-102.832
905,-118.248
906,-106.61
907,-109.862
908,-115.488
909,-118.527
910,-120.125
911,-106.88
912,-101.3
913,-118.337
914,-106.213
915,-104.097
916,-107.971
917,-115.45
918,-114.39
919,-114.881
920,-95.968
921,-93.24
922,-103.292
923,-99.862
924,-120.435
925,-124.786
926,-104.495
927,-120.045
928,-107.699
929,-113.995
930,-116.834
931,-102.102
932,-110.498
933,-112.311
934,-107.281
935,-104.44
936,-115.969
937,-104.495
938,-105.093
939,-117.563
940,-97.28
941,-115.003
942,-133.968
943,-106.046
944,-103.414
945,-96.605
946,-104.574
947,-100.11
948,-121.277
949,-121.553
950,-105.904
951,-119.368
952,-86.936
953,-107.054
954,-122.337
955,-123.297
956,-113.15
957,-112.962
958,-110.309
959,-138.707
960,-100.062
961,-93.048
962,-98.376
963,-97.881
964,-129.289
965,-101.714
966,-112.214
967,-115.361
968,-116.07
969,-110.816
970,-96.644
971,-88.764
972,-115.444
973,-103.502
974,-99.065
975,-96.209
976,-90.212
977,-109.662
978,-108.706
979,-129.699
980,-117.534
981,-96.71
982,-86.358
983,-99.238
984,-97.188
985,-109.693
986,-126.382
987,-123.71
988,-108.828
989,-116.157
990,-103.052
991,-126.087
992,-101.51
993,-101.703
994,-97.567
995,-92.802
996,-106.245
997,-114.846
998,-69.249
999,-100.481
1000,-91.346
1001,-107.295
1002,-118.227
1003,-103.896
1004,-88.311
1005,-91.715
1006,-93.115
1007,-104.966
1008,-90.478
1009,-94.931
1010,-98.996
1011,-102.618
1012,-106.816
1013,-110.157
1014,-103.804
1015,-80.707
1016,-88.78
1017,-104.923
1018,-99.712
1019,-91.468
1020,-109.318
1021,-104.074
1022,-111.078
1023,-108.112
1024,-104.348
1025,-97.473
1026,-103.623
1027,-106.043
1028,-92.62
1029,-101.02
1030,-103.601
1031,-111.389
1032,-87.802
1033,-117.631
1034,-95.055
1035,-108.074
1036,-107.4
1037,-115.989
1038,-117.197
1039,-122.105
1040,-85.111
1041,-101.553
1042,-89.471
1043,-93.856
1044,-99.712
1045,-96.891
1046,-115.919
1047,-89.976
1048,-109.514
1049,-104.044
1050,-115.251
1051,-117.635
1052,-96.132
1053,-94.502
1054,-101.79
1055,-130.303
1056,-90.573
1057,-96.566
1058,-109.737
1059,-102.979
1060,-125.97
1061,-114.262
1062,-103.751
1063,-100.862
1064,-106.431
1065,-118.973
1066,-117.886
1067,-110.846
1068,-100.269
1069,-118.999
1070,-96.047
1071,-110.261
1072,-136.203
1073,-101.256
1074,-103.892
1075,-110.647
1076,-90.518
1077,-107.448
1078,-94.397
1079,-93.642
1080,-104.567
1081,-98.633
1082,-106.004
1083,-88.245
1084,-113.0
1085,-107.276
1086,-106.067
1087,-112.892
1088,-112.127
1089,-103.875
1090,-100.927
1091,-118.863
1092,-101.439
1093,-83.125
1094,-111.617
1095,-83.888
1096,-121.826
1097,-110.756
1098,-105.18
1099,-131.654
1100,-100.036
1101,-91.839
1102,-98.419
1103,-97.3
1104,-108.595
1105,-109.222
1106,-110.36
1107,-104.005
1108,-110.759
1109,-109.159
1110,-104.972
1111,-109.317
1112,-105.844
1113,-120.121
1114,-94.461
1115,-87.309
1116,-101.606
1117,-113.68
1118,-114.513
1119,-99.718
1120,-109.999
1121,-112.253
1122,-89.826
1123,-105.622
1124,-102.903
1125,-118.341
1126,-104.713
1127,-129.881
1128,-108.193
1129,-94.938
1130,-128.718
1131,-93.612
1132,-112.62
1133,-89.325
1134,-100.672
1135,-107.169
1136,-119.937
1137,-113.678
1138,-107.0
1139,-116.53
1140,-98.548
1141,-112.029
1142,-108.965
1143,-104.743
1144,-110.446
1145,-97.165
1146,-74.302
1147,-110.54
1148,-119.475
1149,-110.571
1150,-103.517
1151,-113.106
1152,-117.577
1153,-122.276
1154,-110.296
1155,-134.561
1156,-108.661
1157,-108.493
1158,-107.889
1159,-94.394
1160,-111.976
1161,-113.079
1162,-109.308
1163,-110.147
1164,-94.959
1165,-97.777
1166,-117.526
1167,-113.276
1168,-122.932
1169,-111.535
1170,-98.13
1171,-108.996
1172,-102.389
1173,-128.252
1174,-107.03
1175,-119.916
1176,-91.17
1177,-126.511
1178,-103.259
1179,-108.004
1180,-106.141
1181,-97.464
1182,-118.084
1183,-105.219
1184,-105.951
1185,-136.251
1186,-143.427
1187,-99.409
1188,-82.266
1189,-108.487
1190,-117.176
1191,-105.999
1192,-83.748
1193,-97.2
1194,-105.259
1195,-96.455
1196,-100.523
1197,-118.421
1198,-104.906
1199,-112.776
1200,-96.888
1201,-117.573
1202,-114.52
1203,-114.116
1204,-117.847
1205,-106.761
1206,-99.884
1207,-110.816
1208,-102.451
1209,-118.909
1210,-118.364
1211,-117.878
1212,-118.638
1213,-108.735
1214,-103.093
1215,-110.31
1216,-116.463
1217,-115.103
1218,-95.899
1219,-103.842
1220,-100.832
1221,-128.148
1222,-99.628
1223,-87.743
1224,-97.807
1225,-108.92
1226,-97.699
1227,-116.426
1228,-117.047
1229,-114.501
1230,-106.792
1231,-110.485
1232,-95.085
1233,-104.311
1234,-108.331
