FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
51,YES,2.365,YES,1.755,3.301,-6.61,NO,4.405,YES,2.852,74.51,GAUCHE,-147.586,-78.869,-138.797,S214H_dimer_validated_mini00051.yob
52,NO,2.569,YES,1.803,3.568,-6.61,NO,4.417,YES,2.862,88.936,GAUCHE,-138.18,-70.898,-115.35,S214H_dimer_validated_mini00052.yob
53,YES,2.27,YES,1.827,3.713,-6.61,NO,4.577,NO,3.104,73.517,GAUCHE,-128.011,-67.993,-137.71,S214H_dimer_validated_mini00053.yob
54,YES,2.127,YES,1.874,3.426,-6.61,NO,4.327,YES,2.803,67.542,GAUCHE,-158.794,-81.969,-131.497,S214H_dimer_validated_mini00054.yob
55,YES,1.985,YES,1.924,3.407,-6.61,NO,4.105,YES,2.945,85.354,GAUCHE,-155.392,-71.255,-120.575,S214H_dimer_validated_mini00055.yob
56,YES,1.88,YES,1.688,3.44,-6.61,NO,3.735,YES,2.683,66.532,GAUCHE,-136.036,-79.271,-132.462,S214H_dimer_validated_mini00056.yob
57,YES,2.153,YES,1.709,4.09,-6.61,NO,5.063,NO,3.129,89.266,GAUCHE,-142.756,-70.375,-122.072,S214H_dimer_validated_mini00057.yob
58,YES,2.116,YES,1.801,3.046,-6.61,NO,3.908,YES,2.909,79.003,GAUCHE,-124.801,-77.984,-123.646,S214H_dimer_validated_mini00058.yob
59,YES,1.94,YES,1.831,3.131,-6.61,NO,3.631,YES,2.862,73.67,GAUCHE,-134.658,-70.595,-136.318,S214H_dimer_validated_mini00059.yob
60,YES,1.983,NO,1.883,4.099,-6.61,NO,5.07,YES,3.136,83.266,GAUCHE,-147.905,-80.007,-123.166,S214H_dimer_validated_mini00060.yob
61,NO,3.317,YES,1.858,3.66,-6.61,NO,4.807,YES,3.09,93.028,UNDEFINED,-140.58,-77.091,-115.391,S214H_dimer_validated_mini00061.yob
62,YES,1.724,YES,1.825,3.103,-6.61,NO,3.886,YES,3.025,61.558,GAUCHE,-130.387,-85.129,-114.436,S214H_dimer_validated_mini00062.yob
63,NO,2.332,YES,1.763,3.502,-6.61,NO,3.819,YES,3.221,69.605,GAUCHE,-153.295,-75.562,-130.537,S214H_dimer_validated_mini00063.yob
64,YES,1.913,YES,2.019,2.947,-6.61,YES,3.427,YES,2.9,67.559,GAUCHE,-155.86,-77.326,-130.039,S214H_dimer_validated_mini00064.yob
65,NO,3.085,YES,1.694,3.677,-6.61,NO,4.36,YES,3.021,62.725,GAUCHE,-150.564,-76.923,-130.841,S214H_dimer_validated_mini00065.yob
66,YES,1.927,YES,1.665,3.46,-6.61,NO,3.857,YES,2.792,84.106,GAUCHE,-136.625,-80.431,-131.111,S214H_dimer_validated_mini00066.yob
67,NO,2.68,YES,2.091,3.346,-6.61,NO,3.84,YES,3.131,80.661,GAUCHE,-140.053,-69.52,-124.754,S214H_dimer_validated_mini00067.yob
68,YES,2.075,YES,1.873,3.771,-6.61,NO,3.993,YES,3.138,90.35,UNDEFINED,-147.214,-85.245,-127.882,S214H_dimer_validated_mini00068.yob
69,YES,2.062,YES,1.818,3.625,-6.61,YES,3.231,YES,2.981,72.06,GAUCHE,-127.657,-71.743,-121.858,S214H_dimer_validated_mini00069.yob
70,YES,1.875,YES,1.676,3.727,-6.61,NO,4.397,YES,2.754,74.588,GAUCHE,-145.802,-90.866,-124.378,S214H_dimer_validated_mini00070.yob
71,NO,2.045,YES,2.002,3.052,-6.61,NO,3.392,YES,2.969,77.399,GAUCHE,-140.136,-72.95,-119.796,S214H_dimer_validated_mini00071.yob
72,YES,2.025,YES,2.028,3.272,-6.61,NO,3.826,YES,3.09,67.365,GAUCHE,-133.118,-84.458,-124.347,S214H_dimer_validated_mini00072.yob
73,YES,2.174,YES,1.712,3.614,-6.61,NO,3.848,YES,3.03,60.874,GAUCHE,-143.392,-83.258,-121.695,S214H_dimer_validated_mini00073.yob
74,NO,2.473,YES,1.997,3.135,-6.61,NO,3.828,YES,2.947,81.858,GAUCHE,-148.261,-76.14,-132.675,S214H_dimer_validated_mini00074.yob
75,NO,2.115,YES,1.879,3.377,-6.61,NO,3.978,YES,2.979,103.876,UNDEFINED,-137.367,-79.585,-120.863,S214H_dimer_validated_mini00075.yob
76,YES,1.803,YES,1.757,3.408,-6.61,NO,3.873,YES,2.97,89.231,GAUCHE,-145.191,-85.149,-120.015,S214H_dimer_validated_mini00076.yob
77,YES,2.18,YES,1.859,3.469,-6.61,NO,3.729,YES,3.047,64.772,GAUCHE,-153.163,-83.096,-124.245,S214H_dimer_validated_mini00077.yob
78,YES,2.272,YES,1.672,3.527,-6.61,NO,4.297,YES,2.886,78.384,GAUCHE,-148.5,-79.354,-118.344,S214H_dimer_validated_mini00078.yob
79,YES,1.913,YES,1.85,3.42,-6.61,NO,4.201,YES,2.767,78.577,GAUCHE,-143.119,-81.5,-122.481,S214H_dimer_validated_mini00079.yob
80,NO,2.607,YES,1.71,3.449,-6.61,NO,4.238,YES,2.85,65.712,GAUCHE,-148.624,-66.386,-136.179,S214H_dimer_validated_mini00080.yob
81,NO,2.691,YES,1.82,3.789,-6.61,NO,4.456,YES,2.865,76.754,GAUCHE,-145.644,-86.36,-117.824,S214H_dimer_validated_mini00081.yob
82,YES,2.204,YES,1.927,3.083,-6.61,NO,3.715,YES,2.713,73.184,GAUCHE,-140.413,-77.199,-113.929,S214H_dimer_validated_mini00082.yob
83,YES,1.955,YES,1.798,3.325,-6.61,NO,3.792,YES,3.032,68.492,GAUCHE,-127.322,-92.992,-114.446,S214H_dimer_validated_mini00083.yob
84,NO,2.571,YES,2.198,3.654,-6.61,NO,4.468,YES,2.988,75.554,GAUCHE,-150.388,-77.379,-124.035,S214H_dimer_validated_mini00084.yob
85,YES,1.989,YES,1.745,3.432,-6.61,NO,3.828,YES,3.032,66.116,GAUCHE,-124.828,-78.187,-117.291,S214H_dimer_validated_mini00085.yob
