FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
95,NO,2.605,YES,1.976,4.032,-5.35,NO,4.839,NO,3.362,26.702,UNDEFINED,-109.276,-83.488,-123.885,DuraPETase_dimer_validated_mini00095.yob
96,YES,2.04,YES,1.783,3.606,-5.35,NO,3.766,YES,3.127,20.51,UNDEFINED,-118.201,-63.446,-135.952,DuraPETase_dimer_validated_mini00096.yob
97,YES,1.857,YES,1.963,3.335,-5.35,NO,4.099,YES,2.797,34.749,UNDEFINED,-107.31,-69.802,-148.629,DuraPETase_dimer_validated_mini00097.yob
98,NO,2.099,YES,2.001,3.354,-5.35,NO,3.54,YES,2.978,57.238,GAUCHE,-122.274,-82.833,-122.166,DuraPETase_dimer_validated_mini00098.yob
99,NO,3.325,YES,1.782,3.859,-5.35,NO,5.16,NO,3.218,36.416,UNDEFINED,-112.252,-60.679,-119.493,DuraPETase_dimer_validated_mini00099.yob
100,NO,2.534,YES,1.975,3.232,-5.35,NO,3.871,YES,2.768,59.314,GAUCHE,-117.025,-73.093,-130.771,DuraPETase_dimer_validated_mini00100.yob
101,NO,2.443,YES,1.874,3.314,-5.35,NO,3.529,YES,3.037,62.237,GAUCHE,-99.659,-67.127,-132.357,DuraPETase_dimer_validated_mini00101.yob
102,YES,1.894,NO,1.97,3.243,-5.35,NO,3.826,YES,2.992,104.31,UNDEFINED,-113.158,-79.155,-106.253,DuraPETase_dimer_validated_mini00102.yob
103,YES,1.98,YES,1.831,3.415,-5.35,NO,3.736,YES,2.936,73.884,GAUCHE,-119.063,-71.154,-123.397,DuraPETase_dimer_validated_mini00103.yob
104,YES,2.308,YES,1.942,3.444,-5.35,NO,4.755,YES,2.908,6.39,UNDEFINED,-114.692,-73.463,-125.109,DuraPETase_dimer_validated_mini00104.yob
105,YES,2.219,YES,1.765,3.029,-5.35,NO,3.495,YES,3.139,35.501,UNDEFINED,-124.224,-91.955,-130.058,DuraPETase_dimer_validated_mini00105.yob
106,NO,2.425,YES,1.898,3.015,-5.35,NO,4.119,YES,2.831,56.766,GAUCHE,-142.274,-79.879,-121.652,DuraPETase_dimer_validated_mini00106.yob
107,YES,2.037,YES,1.76,3.138,-5.35,NO,3.581,NO,2.871,47.658,UNDEFINED,-98.165,-76.66,-114.247,DuraPETase_dimer_validated_mini00107.yob
108,NO,2.658,YES,1.839,3.7,-5.35,NO,4.509,NO,3.329,50.972,GAUCHE,-119.063,-80.352,-122.365,DuraPETase_dimer_validated_mini00108.yob
109,YES,2.186,YES,1.928,2.941,-5.35,NO,3.822,YES,2.807,66.876,GAUCHE,-112.593,-80.856,-136.428,DuraPETase_dimer_validated_mini00109.yob
110,YES,2.064,YES,1.935,3.311,-5.35,NO,4.201,YES,2.767,50.471,GAUCHE,-104.664,-73.068,-116.351,DuraPETase_dimer_validated_mini00110.yob
111,YES,1.752,YES,1.753,3.255,-5.35,NO,3.985,YES,2.937,68.456,GAUCHE,-105.269,-71.728,-131.02,DuraPETase_dimer_validated_mini00111.yob
112,YES,2.078,YES,1.678,3.122,-5.35,YES,3.478,YES,2.941,56.129,GAUCHE,-92.13,-70.988,-143.169,DuraPETase_dimer_validated_mini00112.yob
113,YES,2.119,YES,1.771,3.309,-5.35,NO,3.694,YES,2.688,55.507,GAUCHE,-113.834,-76.859,-120.99,DuraPETase_dimer_validated_mini00113.yob
114,NO,2.557,YES,1.857,2.972,-5.35,NO,3.354,YES,2.905,49.826,UNDEFINED,-107.638,-91.789,-117.363,DuraPETase_dimer_validated_mini00114.yob
115,YES,1.944,YES,1.789,3.061,-5.35,NO,3.748,YES,2.963,49.23,UNDEFINED,-117.291,-92.128,-143.137,DuraPETase_dimer_validated_mini00115.yob
116,YES,1.883,YES,1.777,3.743,-5.35,NO,4.268,YES,3.016,53.06,GAUCHE,-119.583,-83.668,-135.269,DuraPETase_dimer_validated_mini00116.yob
117,YES,2.291,YES,2.074,3.154,-5.35,NO,4.124,YES,2.811,75.696,GAUCHE,-102.631,-79.408,-144.23,DuraPETase_dimer_validated_mini00117.yob
118,YES,1.804,YES,1.734,2.976,-5.35,NO,3.722,YES,2.765,46.105,UNDEFINED,-131.796,-75.198,-147.798,DuraPETase_dimer_validated_mini00118.yob
119,YES,1.835,YES,1.78,3.077,-5.35,NO,3.896,YES,2.932,61.144,GAUCHE,-122.954,-74.754,-129.05,DuraPETase_dimer_validated_mini00119.yob
120,NO,2.656,YES,1.865,2.982,-5.35,NO,3.749,YES,2.755,75.701,GAUCHE,-137.275,-67.414,-116.892,DuraPETase_dimer_validated_mini00120.yob
121,NO,2.049,YES,1.906,3.327,-5.35,NO,3.913,YES,2.981,56.75,GAUCHE,-119.092,-92.091,-118.424,DuraPETase_dimer_validated_mini00121.yob
122,NO,2.01,YES,1.889,3.367,-5.35,NO,4.249,YES,2.772,62.84,GAUCHE,-117.746,-82.538,-141.637,DuraPETase_dimer_validated_mini00122.yob
123,YES,2.184,YES,1.833,3.447,-5.35,NO,3.931,YES,2.919,92.81,UNDEFINED,-126.479,-78.84,-120.433,DuraPETase_dimer_validated_mini00123.yob
124,YES,2.037,YES,1.674,3.167,-5.35,NO,3.789,NO,2.964,59.195,GAUCHE,-109.789,-65.646,-129.411,DuraPETase_dimer_validated_mini00124.yob
125,NO,2.33,YES,1.907,3.622,-5.35,NO,4.077,YES,2.779,72.368,GAUCHE,-126.925,-91.755,-123.644,DuraPETase_dimer_validated_mini00125.yob
126,YES,2.069,YES,1.85,3.666,-5.35,NO,3.573,YES,2.986,69.356,GAUCHE,-126.725,-78.142,-129.489,DuraPETase_dimer_validated_mini00126.yob
127,YES,1.902,YES,1.691,3.077,-5.35,NO,3.534,YES,2.794,83.96,GAUCHE,-117.84,-85.873,-127.184,DuraPETase_dimer_validated_mini00127.yob
128,YES,1.89,YES,1.988,4.14,-5.35,NO,5.094,NO,2.867,56.49,GAUCHE,-128.654,-85.892,-127.701,DuraPETase_dimer_validated_mini00128.yob
129,YES,2.002,YES,1.853,3.253,-5.35,NO,3.471,YES,2.806,75.042,GAUCHE,-106.746,-70.732,-122.069,DuraPETase_dimer_validated_mini00129.yob
130,YES,2.131,YES,1.767,3.783,-5.35,NO,4.636,YES,3.031,81.635,GAUCHE,-102.015,-92.862,-124.445,DuraPETase_dimer_validated_mini00130.yob
131,YES,1.959,YES,1.841,3.534,-5.35,NO,3.946,YES,2.917,78.594,GAUCHE,-132.289,-82.184,-148.639,DuraPETase_dimer_validated_mini00131.yob
132,YES,1.799,YES,1.718,3.235,-5.35,NO,3.657,YES,2.91,80.603,GAUCHE,-115.113,-71.702,-129.027,DuraPETase_dimer_validated_mini00132.yob
133,YES,2.111,YES,1.725,3.214,-5.35,NO,3.56,YES,2.965,67.292,GAUCHE,-116.692,-74.742,-126.673,DuraPETase_dimer_validated_mini00133.yob
134,YES,2.042,YES,1.943,3.542,-5.35,NO,4.0,YES,2.773,43.401,UNDEFINED,-115.419,-85.335,-128.544,DuraPETase_dimer_validated_mini00134.yob
135,YES,2.366,YES,1.777,3.346,-5.35,NO,3.984,YES,2.886,17.32,UNDEFINED,-117.943,-79.942,-124.587,DuraPETase_dimer_validated_mini00135.yob
136,NO,2.008,YES,1.781,3.175,-5.35,NO,3.483,YES,2.949,49.636,UNDEFINED,-96.685,-77.038,-119.182,DuraPETase_dimer_validated_mini00136.yob
137,YES,2.106,YES,1.877,3.221,-5.35,NO,3.539,YES,2.828,73.749,GAUCHE,-129.634,-79.684,-135.428,DuraPETase_dimer_validated_mini00137.yob
138,YES,1.952,YES,1.646,3.187,-5.35,NO,3.649,YES,2.742,51.959,GAUCHE,-135.789,-81.336,-140.343,DuraPETase_dimer_validated_mini00138.yob
