STRUCTURE,DISTANCE_SER,ENERGY,MET,DISTANCE_MET,TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,VARIANT,TEMPERATURE,DOCKING
resultsDocking_DuraPETase_303_C143-f2685-s45_PET_dimer_014_mini.yob,2.904,-5.05,YES,3.159,YES,2.809,25.805,undefined,DuraPETase,303,014
resultsDocking_TSPETase_303_C135-f7107-s48_PET_dimer_001_mini.yob,2.904,-5.835,YES,3.069,YES,2.792,37.034,undefined,TSPETase,303,001
resultsDocking_TSPETase_315_C346-f7013-s26_PET_dimer_015_mini.yob,2.904,-4.857,YES,3.148,YES,2.803,30.302,undefined,TSPETase,315,015
resultsDocking_DuraPETase_303_C156-f522-s32_PET_dimer_015_mini.yob,2.905,-4.837,YES,3.391,YES,2.897,45.546,undefined,DuraPETase,303,015
resultsDocking_DuraPETase_303_C162-f1161-s51_PET_dimer_005_mini.yob,2.905,-6.293,YES,3.121,YES,2.9,38.153,undefined,DuraPETase,303,005
resultsDocking_DuraPETase_303_C135-f3369-s65_PET_dimer_002_mini.yob,2.905,-5.476,YES,3.238,YES,2.89,20.114,undefined,DuraPETase,303,002
resultsDocking_TSPETase_303_C118-f3150-s38_PET_dimer_005_mini.yob,2.906,-5.966,YES,3.085,YES,2.841,31.639,undefined,TSPETase,303,005
resultsDocking_S214H_303_C220-f3454-s20_PET_dimer_017_mini.yob,2.906,-5.687,NO,3.59,YES,2.876,32.655,undefined,S214H,303,017
resultsDocking_DuraPETase_303_C224-f4894-s21_PET_dimer_004_mini.yob,2.906,-5.005,YES,3.399,YES,2.84,47.602,undefined,DuraPETase,303,004
resultsDocking_WT_303_C444-f4653-s20_PET_dimer_014_mini.yob,2.907,-4.674,YES,3.219,YES,2.888,10.424,undefined,WT,303,014
resultsDocking_DuraPETase_303_C14-f156-s24_PET_dimer_015_mini.yob,2.907,-4.901,YES,3.32,YES,2.91,21.964,undefined,DuraPETase,303,015
resultsDocking_WT_303_C446-f4682-s28_PET_dimer_006_mini.yob,2.908,-5.053,YES,3.166,YES,2.815,49.012,undefined,WT,303,006
resultsDocking_DuraPETase_303_C162-f1161-s51_PET_dimer_002_mini.yob,2.908,-6.459,YES,3.126,YES,2.829,20.127,undefined,DuraPETase,303,002
resultsDocking_TSPETase_315_C279-f6634-s38_PET_dimer_008_mini.yob,2.908,-4.775,NO,3.422,YES,2.886,33.653,undefined,TSPETase,315,008
resultsDocking_DuraPETase_303_C124-f4713-s37_PET_dimer_002_mini.yob,2.908,-6.29,YES,3.143,YES,2.907,42.746,undefined,DuraPETase,303,002
resultsDocking_DuraPETase_303_C48-f52-s14_PET_dimer_007_mini.yob,2.908,-5.595,YES,3.23,YES,2.843,20.102,undefined,DuraPETase,303,007
resultsDocking_S214H_303_C211-f3517-s99_PET_dimer_006_mini.yob,2.908,-4.846,YES,3.384,YES,2.81,25.532,undefined,S214H,303,006
resultsDocking_S214H_315_C79-f3232-s27_PET_dimer_015_mini.yob,2.909,-6.433,YES,3.012,YES,2.876,28.895,undefined,S214H,315,015
resultsDocking_DuraPETase_303_C53-f2681-s20_PET_dimer_012_mini.yob,2.909,-5.249,YES,3.108,YES,2.795,41.352,undefined,DuraPETase,303,012
