STRUCTURE,DISTANCE_SER,ENERGY,MET,DISTANCE_MET,TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,VARIANT,TEMPERATURE,DOCKING
resultsDocking_DuraPETase_315_C80-f2812-s25_PET_dimer_002_mini.yob,3.676,-6.918,NO,5.577,NO,4.752,164.576,trans,DuraPETase,315,002
resultsDocking_DuraPETase_303_C14-f156-s24_PET_dimer_007_mini.yob,3.676,-5.178,NO,4.482,NO,3.451,61.995,gauche,DuraPETase,303,007
resultsDocking_TSPETase_303_C267-f9007-s16_PET_dimer_001_mini.yob,3.676,-6.837,NO,4.694,YES,2.901,163.059,trans,TSPETase,303,001
resultsDocking_DuraPETase_303_C170-f3650-s38_PET_dimer_009_mini.yob,3.676,-5.356,NO,5.435,NO,4.04,47.706,undefined,DuraPETase,303,009
resultsDocking_WT_303_C202-f3122-s16_PET_dimer_008_mini.yob,3.676,-4.802,NO,5.082,NO,3.149,85.162,gauche,WT,303,008
resultsDocking_DuraPETase_303_C173-f5624-s19_PET_dimer_010_mini.yob,3.678,-4.971,NO,3.653,YES,2.826,34.821,undefined,DuraPETase,303,010
resultsDocking_TSPETase_315_C166-f4588-s33_PET_dimer_007_mini.yob,3.678,-6.183,NO,5.492,NO,3.356,38.284,undefined,TSPETase,315,007
resultsDocking_WT_303_C232-f3333-s22_PET_dimer_013_mini.yob,3.679,-6.332,NO,4.818,YES,2.912,167.478,trans,WT,303,013
resultsDocking_DuraPETase_303_C85-f1853-s26_PET_dimer_015_mini.yob,3.679,-4.696,NO,4.589,NO,3.773,45.688,undefined,DuraPETase,303,015
resultsDocking_TSPETase_315_C279-f6634-s38_PET_dimer_010_mini.yob,3.679,-4.682,NO,4.861,NO,3.36,175.78,trans,TSPETase,315,010
resultsDocking_WT_303_C244-f4327-s16_PET_dimer_001_mini.yob,3.679,-6.891,NO,3.255,NO,4.593,81.076,gauche,WT,303,001
resultsDocking_TSPETase_303_C113-f6109-s40_PET_dimer_009_mini.yob,3.68,-5.157,NO,4.562,YES,2.969,159.838,trans,TSPETase,303,009
resultsDocking_S214H_315_C5-f4872-s42_PET_dimer_008_mini.yob,3.681,-4.896,NO,4.741,YES,2.903,158.117,trans,S214H,315,008
resultsDocking_WT_315_C107-f5045-s32_PET_dimer_015_mini.yob,3.681,-4.996,NO,3.362,NO,5.187,52.823,gauche,WT,315,015
resultsDocking_TSPETase_303_C119-f6033-s34_PET_dimer_009_mini.yob,3.682,-6.44,NO,4.739,YES,2.908,165.655,trans,TSPETase,303,009
resultsDocking_S214H_315_C92-f3016-s44_PET_dimer_016_mini.yob,3.682,-4.891,NO,3.739,NO,4.528,29.62,undefined,S214H,315,016
resultsDocking_S214H_303_C207-f3401-s38_PET_dimer_007_mini.yob,3.682,-6.377,NO,3.195,NO,5.291,31.048,undefined,S214H,303,007
resultsDocking_DuraPETase_303_C100-f7046-s36_PET_dimer_016_mini.yob,3.682,-5.75,NO,5.006,YES,2.999,54.48,gauche,DuraPETase,303,016
resultsDocking_DuraPETase_315_C341-f7694-s32_PET_dimer_006_mini.yob,3.682,-6.275,NO,4.201,NO,2.929,8.532,undefined,DuraPETase,315,006
resultsDocking_TSPETase_303_C267-f9007-s16_PET_dimer_002_mini.yob,3.682,-6.815,NO,4.638,YES,2.96,166.844,trans,TSPETase,303,002
resultsDocking_TSPETase_303_C393-f7037-s16_PET_dimer_015_mini.yob,3.682,-6.233,NO,4.943,YES,3.059,80.512,gauche,TSPETase,303,015
resultsDocking_S214H_315_C45-f91-s60_PET_dimer_009_mini.yob,3.683,-4.624,NO,4.765,YES,2.891,172.603,trans,S214H,315,009
resultsDocking_DuraPETase_303_C157-f6716-s32_PET_dimer_003_mini.yob,3.683,-5.357,NO,3.224,NO,5.178,37.994,undefined,DuraPETase,303,003
resultsDocking_WT_303_C242-f1799-s18_PET_dimer_011_mini.yob,3.683,-6.236,NO,5.374,NO,3.367,43.77,undefined,WT,303,011
resultsDocking_S214H_315_C207-f3023-s11_PET_dimer_004_mini.yob,3.683,-5.234,NO,3.295,NO,5.028,47.829,undefined,S214H,315,004
resultsDocking_DuraPETase_303_C53-f2681-s20_PET_dimer_013_mini.yob,3.684,-5.245,NO,6.98,NO,5.773,91.462,undefined,DuraPETase,303,013
resultsDocking_S214H_303_C207-f3401-s38_PET_dimer_017_mini.yob,3.685,-6.137,NO,4.738,YES,2.87,170.38,trans,S214H,303,017
resultsDocking_DuraPETase_303_C78-f1539-s36_PET_dimer_011_mini.yob,3.685,-6.351,NO,5.168,YES,2.9,95.824,undefined,DuraPETase,303,011
resultsDocking_DuraPETase_303_C184-f5810-s44_PET_dimer_002_mini.yob,3.685,-5.436,NO,4.232,NO,4.253,40.366,undefined,DuraPETase,303,002
resultsDocking_DuraPETase_303_C178-f1664-s26_PET_dimer_009_mini.yob,3.685,-5.421,NO,4.522,YES,2.855,74.109,gauche,DuraPETase,303,009
resultsDocking_DuraPETase_303_C128-f1355-s31_PET_dimer_011_mini.yob,3.685,-4.883,NO,5.543,NO,3.974,100.258,undefined,DuraPETase,303,011
resultsDocking_DuraPETase_303_C215-f3072-s50_PET_dimer_003_mini.yob,3.686,-5.441,NO,3.512,NO,4.866,44.176,undefined,DuraPETase,303,003
resultsDocking_TSPETase_315_C338-f4613-s14_PET_dimer_008_mini.yob,3.686,-6.701,NO,5.06,YES,2.989,134.525,undefined,TSPETase,315,008
resultsDocking_TSPETase_303_C139-f8977-s30_PET_dimer_015_mini.yob,3.686,-5.084,NO,5.082,NO,5.303,76.898,gauche,TSPETase,303,015
resultsDocking_TSPETase_303_C91-f2909-s17_PET_dimer_009_mini.yob,3.686,-4.473,NO,5.676,NO,5.113,44.312,undefined,TSPETase,303,009
resultsDocking_TSPETase_303_C113-f6109-s40_PET_dimer_017_mini.yob,3.686,-4.92,NO,3.204,NO,4.774,49.201,undefined,TSPETase,303,017
resultsDocking_TSPETase_303_C155-f4433-s21_PET_dimer_016_mini.yob,3.687,-4.551,NO,5.192,NO,3.409,48.288,undefined,TSPETase,303,016
resultsDocking_DuraPETase_315_C340-f7659-s17_PET_dimer_016_mini.yob,3.687,-6.066,NO,3.967,YES,2.824,27.015,undefined,DuraPETase,315,016
resultsDocking_DuraPETase_315_C52-f530-s44_PET_dimer_003_mini.yob,3.688,-5.172,NO,3.777,YES,3.14,21.48,undefined,DuraPETase,315,003
resultsDocking_DuraPETase_303_C172-f1063-s44_PET_dimer_009_mini.yob,3.688,-5.129,NO,4.582,NO,6.004,77.053,gauche,DuraPETase,303,009
resultsDocking_DuraPETase_315_C124-f2820-s32_PET_dimer_015_mini.yob,3.688,-4.653,NO,4.157,YES,3.051,47.095,undefined,DuraPETase,315,015
resultsDocking_DuraPETase_303_C188-f3417-s23_PET_dimer_005_mini.yob,3.688,-5.773,NO,4.124,YES,2.818,45.329,undefined,DuraPETase,303,005
resultsDocking_DuraPETase_303_C70-f224-s35_PET_dimer_009_mini.yob,3.688,-4.691,NO,6.76,NO,4.325,31.3,undefined,DuraPETase,303,009
resultsDocking_TSPETase_303_C113-f6109-s40_PET_dimer_014_mini.yob,3.688,-4.975,NO,4.271,YES,3.051,171.718,trans,TSPETase,303,014
resultsDocking_DuraPETase_303_C125-f4345-s22_PET_dimer_017_mini.yob,3.689,-5.014,NO,4.998,YES,3.028,5.123,undefined,DuraPETase,303,017
resultsDocking_DuraPETase_303_C154-f3538-s19_PET_dimer_005_mini.yob,3.689,-5.443,NO,4.634,NO,3.461,19.799,undefined,DuraPETase,303,005
resultsDocking_S214H_315_C298-f6656-s14_PET_dimer_016_mini.yob,3.69,-5.118,NO,5.888,NO,5.27,53.086,gauche,S214H,315,016
resultsDocking_DuraPETase_303_C9-f2621-s46_PET_dimer_015_mini.yob,3.69,-4.736,NO,5.006,YES,2.966,43.442,undefined,DuraPETase,303,015
resultsDocking_DuraPETase_303_C52-f935-s71_PET_dimer_004_mini.yob,3.69,-5.079,NO,3.771,YES,2.813,37.406,undefined,DuraPETase,303,004
resultsDocking_WT_303_C242-f1799-s18_PET_dimer_003_mini.yob,3.69,-6.534,NO,7.02,NO,4.305,73.549,gauche,WT,303,003
resultsDocking_DuraPETase_303_C208-f5834-s21_PET_dimer_014_mini.yob,3.69,-5.881,NO,4.628,NO,3.24,78.66,gauche,DuraPETase,303,014
resultsDocking_S214H_315_C88-f2873-s13_PET_dimer_015_mini.yob,3.691,-5.335,NO,4.719,YES,2.926,155.967,trans,S214H,315,015
resultsDocking_S214H_303_C175-f6462-s31_PET_dimer_012_mini.yob,3.691,-5.854,NO,5.182,NO,3.027,24.767,undefined,S214H,303,012
resultsDocking_TSPETase_315_C178-f5805-s16_PET_dimer_004_mini.yob,3.691,-6.603,NO,4.908,NO,2.913,10.995,undefined,TSPETase,315,004
resultsDocking_DuraPETase_315_C9-f2168-s20_PET_dimer_011_mini.yob,3.692,-4.988,NO,5.079,NO,4.188,39.863,undefined,DuraPETase,315,011
resultsDocking_DuraPETase_303_C89-f7479-s10_PET_dimer_001_mini.yob,3.693,-4.939,NO,4.184,YES,2.77,45.524,undefined,DuraPETase,303,001
resultsDocking_DuraPETase_303_C133-f732-s16_PET_dimer_012_mini.yob,3.693,-4.907,NO,5.329,NO,3.333,51.632,gauche,DuraPETase,303,012
resultsDocking_TSPETase_315_C280-f2418-s39_PET_dimer_009_mini.yob,3.693,-5.59,NO,2.955,NO,5.222,47.998,undefined,TSPETase,315,009
resultsDocking_DuraPETase_303_C72-f1419-s37_PET_dimer_005_mini.yob,3.694,-5.029,NO,4.829,NO,4.652,115.07,undefined,DuraPETase,303,005
resultsDocking_WT_303_C408-f4171-s24_PET_dimer_003_mini.yob,3.694,-5.03,NO,6.907,NO,4.367,73.873,gauche,WT,303,003
resultsDocking_DuraPETase_303_C216-f4734-s32_PET_dimer_005_mini.yob,3.694,-5.653,NO,3.821,NO,3.998,39.976,undefined,DuraPETase,303,005
resultsDocking_DuraPETase_303_C27-f1183-s49_PET_dimer_008_mini.yob,3.694,-5.098,NO,5.062,NO,5.523,13.146,undefined,DuraPETase,303,008
resultsDocking_WT_315_C132-f3499-s14_PET_dimer_010_mini.yob,3.695,-5.174,NO,5.019,NO,4.83,47.739,undefined,WT,315,010
resultsDocking_WT_315_C363-f3183-s21_PET_dimer_017_mini.yob,3.696,-4.538,NO,4.892,NO,2.988,160.666,trans,WT,315,017
resultsDocking_S214H_303_C76-f1592-s38_PET_dimer_001_mini.yob,3.696,-6.557,NO,4.752,YES,2.889,166.401,trans,S214H,303,001
resultsDocking_TSPETase_303_C141-f1452-s28_PET_dimer_002_mini.yob,3.697,-5.265,NO,3.319,NO,4.948,50.124,gauche,TSPETase,303,002
resultsDocking_WT_303_C447-f4650-s20_PET_dimer_006_mini.yob,3.697,-4.767,NO,4.612,NO,5.836,39.567,undefined,WT,303,006
resultsDocking_S214H_303_C206-f1599-s58_PET_dimer_014_mini.yob,3.697,-6.55,NO,4.626,YES,2.863,66.556,gauche,S214H,303,014
resultsDocking_WT_303_C447-f4650-s20_PET_dimer_009_mini.yob,3.697,-4.709,NO,4.868,YES,3.033,50.026,gauche,WT,303,009
resultsDocking_DuraPETase_303_C78-f1539-s36_PET_dimer_010_mini.yob,3.698,-6.372,NO,5.06,YES,2.86,88.533,gauche,DuraPETase,303,010
resultsDocking_DuraPETase_303_C129-f362-s30_PET_dimer_011_mini.yob,3.698,-6.067,NO,3.405,NO,3.707,165.814,trans,DuraPETase,303,011
resultsDocking_TSPETase_303_C254-f7240-s31_PET_dimer_003_mini.yob,3.699,-5.15,NO,3.656,NO,4.192,68.048,gauche,TSPETase,303,003
resultsDocking_TSPETase_303_C264-f8048-s20_PET_dimer_010_mini.yob,3.699,-6.344,NO,4.448,YES,2.872,165.529,trans,TSPETase,303,010
resultsDocking_TSPETase_315_C275-f6628-s27_PET_dimer_014_mini.yob,3.7,-5.145,NO,3.037,NO,5.506,51.76,gauche,TSPETase,315,014
resultsDocking_TSPETase_315_C325-f2158-s23_PET_dimer_005_mini.yob,3.701,-6.523,NO,4.812,YES,2.839,56.832,gauche,TSPETase,315,005
resultsDocking_DuraPETase_315_C22-f518-s25_PET_dimer_012_mini.yob,3.701,-6.428,NO,4.543,YES,2.765,45.436,undefined,DuraPETase,315,012
resultsDocking_WT_315_C523-f7421-s17_PET_dimer_002_mini.yob,3.701,-6.61,NO,4.718,NO,4.608,3.819,undefined,WT,315,002
resultsDocking_TSPETase_315_C163-f5937-s38_PET_dimer_017_mini.yob,3.703,-6.271,NO,4.492,YES,2.988,147.591,undefined,TSPETase,315,017
resultsDocking_DuraPETase_303_C245-f5043-s24_PET_dimer_012_mini.yob,3.703,-5.749,NO,5.5,NO,3.708,12.519,undefined,DuraPETase,303,012
resultsDocking_DuraPETase_303_C247-f6997-s7_PET_dimer_006_mini.yob,3.704,-4.666,NO,5.476,NO,3.156,54.952,gauche,DuraPETase,303,006
resultsDocking_WT_315_C362-f3192-s28_PET_dimer_006_mini.yob,3.705,-5.716,NO,4.67,YES,2.905,157.094,trans,WT,315,006
resultsDocking_TSPETase_303_C44-f1317-s33_PET_dimer_017_mini.yob,3.706,-6.329,NO,4.256,YES,2.878,80.06,gauche,TSPETase,303,017
resultsDocking_WT_303_C236-f4111-s28_PET_dimer_012_mini.yob,3.706,-4.952,NO,4.63,NO,3.453,140.478,undefined,WT,303,012
resultsDocking_DuraPETase_303_C167-f3282-s23_PET_dimer_007_mini.yob,3.706,-6.483,NO,5.142,NO,5.487,179.127,trans,DuraPETase,303,007
resultsDocking_DuraPETase_303_C125-f4345-s22_PET_dimer_001_mini.yob,3.707,-5.481,NO,4.898,NO,4.074,52.014,gauche,DuraPETase,303,001
resultsDocking_TSPETase_303_C120-f3472-s25_PET_dimer_011_mini.yob,3.707,-5.124,NO,4.76,NO,3.124,40.367,undefined,TSPETase,303,011
resultsDocking_TSPETase_303_C123-f9081-s45_PET_dimer_010_mini.yob,3.707,-4.655,NO,4.953,NO,3.317,34.44,undefined,TSPETase,303,010
resultsDocking_DuraPETase_303_C159-f2228-s21_PET_dimer_001_mini.yob,3.707,-6.255,NO,3.427,NO,4.597,35.417,undefined,DuraPETase,303,001
resultsDocking_S214H_315_C42-f2064-s60_PET_dimer_004_mini.yob,3.708,-6.529,NO,4.866,YES,2.947,162.296,trans,S214H,315,004
resultsDocking_S214H_315_C3-f70-s20_PET_dimer_001_mini.yob,3.708,-4.669,NO,4.115,NO,4.119,17.619,undefined,S214H,315,001
resultsDocking_S214H_303_C9-f150-s21_PET_dimer_012_mini.yob,3.708,-5.668,NO,5.458,NO,2.897,61.477,gauche,S214H,303,012
resultsDocking_DuraPETase_303_C75-f6856-s33_PET_dimer_011_mini.yob,3.708,-5.611,NO,4.904,YES,2.871,32.278,undefined,DuraPETase,303,011
resultsDocking_S214H_315_C140-f9069-s33_PET_dimer_008_mini.yob,3.712,-6.278,NO,3.614,NO,4.595,48.086,undefined,S214H,315,008
resultsDocking_S214H_303_C207-f3401-s38_PET_dimer_013_mini.yob,3.712,-6.233,NO,3.788,YES,3.342,22.561,undefined,S214H,303,013
resultsDocking_TSPETase_315_C160-f4924-s31_PET_dimer_009_mini.yob,3.714,-4.843,NO,3.397,NO,3.799,0.612,undefined,TSPETase,315,009
resultsDocking_DuraPETase_315_C340-f7659-s17_PET_dimer_005_mini.yob,3.715,-6.283,NO,3.535,YES,2.861,42.52,undefined,DuraPETase,315,005
resultsDocking_S214H_315_C298-f6656-s14_PET_dimer_013_mini.yob,3.716,-5.256,NO,4.223,NO,4.863,8.419,undefined,S214H,315,013
resultsDocking_S214H_315_C88-f2873-s13_PET_dimer_016_mini.yob,3.716,-5.307,NO,4.957,YES,2.969,164.41,trans,S214H,315,016
resultsDocking_TSPETase_315_C121-f352-s15_PET_dimer_008_mini.yob,3.716,-6.371,NO,5.181,NO,5.541,61.499,gauche,TSPETase,315,008
resultsDocking_DuraPETase_315_C123-f3049-s25_PET_dimer_014_mini.yob,3.717,-5.468,NO,5.742,NO,4.217,161.632,trans,DuraPETase,315,014
resultsDocking_TSPETase_303_C453-f7217-s17_PET_dimer_001_mini.yob,3.717,-6.009,NO,3.577,NO,4.721,76.887,gauche,TSPETase,303,001
resultsDocking_DuraPETase_315_C56-f1541-s58_PET_dimer_016_mini.yob,3.717,-6.386,NO,5.354,NO,3.592,40.885,undefined,DuraPETase,315,016
resultsDocking_DuraPETase_315_C9-f2168-s20_PET_dimer_018_mini.yob,3.717,-4.77,NO,4.912,NO,3.747,134.688,undefined,DuraPETase,315,018
resultsDocking_DuraPETase_315_C16-f2015-s34_PET_dimer_001_mini.yob,3.72,-5.325,NO,4.478,NO,3.839,22.268,undefined,DuraPETase,315,001
resultsDocking_S214H_303_C84-f2549-s27_PET_dimer_003_mini.yob,3.721,-5.48,NO,5.184,NO,3.405,41.887,undefined,S214H,303,003
resultsDocking_DuraPETase_315_C44-f133-s17_PET_dimer_004_mini.yob,3.722,-5.654,NO,3.696,YES,3.358,154.354,trans,DuraPETase,315,004
resultsDocking_DuraPETase_315_C9-f2168-s20_PET_dimer_016_mini.yob,3.723,-4.823,NO,5.273,NO,3.27,41.841,undefined,DuraPETase,315,016
resultsDocking_DuraPETase_303_C220-f1343-s17_PET_dimer_010_mini.yob,3.723,-5.175,NO,5.013,NO,5.862,59.589,gauche,DuraPETase,303,010
resultsDocking_WT_303_C444-f4653-s20_PET_dimer_009_mini.yob,3.723,-4.741,NO,5.684,NO,6.371,14.998,undefined,WT,303,009
resultsDocking_DuraPETase_303_C208-f5834-s21_PET_dimer_007_mini.yob,3.724,-6.038,NO,6.849,NO,5.664,123.59,undefined,DuraPETase,303,007
resultsDocking_DuraPETase_303_C51-f7545-s49_PET_dimer_013_mini.yob,3.725,-4.982,NO,2.977,NO,4.827,42.394,undefined,DuraPETase,303,013
resultsDocking_DuraPETase_303_C14-f156-s24_PET_dimer_012_mini.yob,3.725,-4.954,NO,5.291,NO,4.32,13.213,undefined,DuraPETase,303,012
resultsDocking_WT_303_C218-f1766-s40_PET_dimer_008_mini.yob,3.727,-4.54,NO,4.973,YES,2.92,153.094,trans,WT,303,008
resultsDocking_WT_315_C26-f7503-s20_PET_dimer_003_mini.yob,3.727,-4.866,NO,5.137,NO,3.705,163.823,trans,WT,315,003
resultsDocking_S214H_315_C286-f6013-s24_PET_dimer_002_mini.yob,3.728,-5.033,NO,3.946,NO,4.416,52.286,gauche,S214H,315,002
resultsDocking_DuraPETase_303_C160-f1094-s13_PET_dimer_003_mini.yob,3.728,-5.391,NO,4.706,YES,2.964,57.162,gauche,DuraPETase,303,003
resultsDocking_WT_303_C242-f1799-s18_PET_dimer_006_mini.yob,3.729,-6.469,NO,4.911,YES,2.863,18.041,undefined,WT,303,006
resultsDocking_TSPETase_303_C159-f7932-s25_PET_dimer_003_mini.yob,3.729,-4.812,NO,4.569,YES,3.12,162.037,trans,TSPETase,303,003
resultsDocking_TSPETase_303_C258-f7180-s19_PET_dimer_007_mini.yob,3.729,-6.369,NO,4.902,NO,6.131,40.673,undefined,TSPETase,303,007
resultsDocking_TSPETase_303_C137-f7100-s24_PET_dimer_007_mini.yob,3.729,-6.085,NO,3.793,NO,4.154,54.543,gauche,TSPETase,303,007
resultsDocking_DuraPETase_303_C64-f6039-s31_PET_dimer_016_mini.yob,3.729,-4.828,NO,5.621,NO,4.133,31.128,undefined,DuraPETase,303,016
resultsDocking_S214H_315_C286-f6013-s24_PET_dimer_010_mini.yob,3.73,-4.674,NO,4.587,NO,5.516,39.917,undefined,S214H,315,010
resultsDocking_S214H_303_C51-f7921-s52_PET_dimer_005_mini.yob,3.73,-4.901,NO,4.757,YES,3.214,177.948,trans,S214H,303,005
resultsDocking_S214H_303_C207-f3401-s38_PET_dimer_015_mini.yob,3.73,-6.186,NO,4.367,NO,3.943,5.588,undefined,S214H,303,015
resultsDocking_WT_315_C410-f3302-s28_PET_dimer_005_mini.yob,3.73,-4.948,NO,5.117,NO,3.517,164.378,trans,WT,315,005
resultsDocking_DuraPETase_303_C100-f7046-s36_PET_dimer_004_mini.yob,3.731,-6.153,NO,4.884,YES,3.001,62.116,gauche,DuraPETase,303,004
resultsDocking_WT_303_C178-f3831-s20_PET_dimer_012_mini.yob,3.731,-5.054,NO,4.035,NO,4.353,37.451,undefined,WT,303,012
resultsDocking_TSPETase_303_C453-f7217-s17_PET_dimer_006_mini.yob,3.731,-5.833,NO,4.866,NO,3.438,164.78,trans,TSPETase,303,006
resultsDocking_DuraPETase_315_C64-f1455-s21_PET_dimer_005_mini.yob,3.732,-4.795,NO,7.333,NO,6.612,3.71,undefined,DuraPETase,315,005
resultsDocking_DuraPETase_303_C156-f522-s32_PET_dimer_012_mini.yob,3.732,-4.886,NO,4.085,NO,3.867,154.554,trans,DuraPETase,303,012
resultsDocking_S214H_303_C209-f3746-s38_PET_dimer_011_mini.yob,3.732,-5.547,NO,4.091,NO,3.747,94.415,undefined,S214H,303,011
resultsDocking_TSPETase_303_C116-f3143-s39_PET_dimer_012_mini.yob,3.732,-5.777,NO,3.028,NO,5.606,27.005,undefined,TSPETase,303,012
resultsDocking_DuraPETase_303_C154-f3538-s19_PET_dimer_002_mini.yob,3.733,-5.623,NO,3.518,NO,3.986,168.787,trans,DuraPETase,303,002
resultsDocking_WT_315_C115-f3213-s16_PET_dimer_013_mini.yob,3.734,-5.802,NO,4.998,NO,4.7,41.985,undefined,WT,315,013
resultsDocking_DuraPETase_303_C30-f1282-s36_PET_dimer_012_mini.yob,3.734,-5.027,NO,3.428,NO,4.603,38.722,undefined,DuraPETase,303,012
resultsDocking_TSPETase_315_C182-f2267-s18_PET_dimer_002_mini.yob,3.735,-6.095,NO,4.507,YES,2.998,165.295,trans,TSPETase,315,002
resultsDocking_DuraPETase_315_C341-f7694-s32_PET_dimer_001_mini.yob,3.736,-6.574,NO,6.96,NO,5.659,73.712,gauche,DuraPETase,315,001
resultsDocking_DuraPETase_303_C30-f1282-s36_PET_dimer_011_mini.yob,3.737,-5.069,NO,3.743,NO,4.073,52.035,gauche,DuraPETase,303,011
resultsDocking_WT_303_C8-f1495-s24_PET_dimer_004_mini.yob,3.738,-5.424,NO,4.406,NO,4.456,97.477,undefined,WT,303,004
resultsDocking_TSPETase_303_C43-f647-s30_PET_dimer_012_mini.yob,3.738,-4.621,NO,4.595,YES,2.832,73.156,gauche,TSPETase,303,012
resultsDocking_TSPETase_303_C265-f9076-s22_PET_dimer_010_mini.yob,3.738,-5.228,NO,6.867,NO,5.823,102.27,undefined,TSPETase,303,010
resultsDocking_S214H_303_C167-f7389-s45_PET_dimer_009_mini.yob,3.739,-4.916,NO,3.661,NO,4.531,163.113,trans,S214H,303,009
resultsDocking_DuraPETase_303_C159-f2228-s21_PET_dimer_009_mini.yob,3.74,-5.767,NO,3.846,NO,3.719,176.268,trans,DuraPETase,303,009
resultsDocking_S214H_315_C140-f9069-s33_PET_dimer_012_mini.yob,3.74,-6.233,NO,5.363,NO,3.585,170.889,trans,S214H,315,012
resultsDocking_TSPETase_303_C119-f6033-s34_PET_dimer_005_mini.yob,3.741,-6.547,NO,4.796,YES,2.938,74.183,gauche,TSPETase,303,005
resultsDocking_TSPETase_315_C539-f4984-s18_PET_dimer_017_mini.yob,3.742,-5.581,NO,3.956,YES,3.131,41.65,undefined,TSPETase,315,017
resultsDocking_TSPETase_315_C71-f476-s40_PET_dimer_013_mini.yob,3.742,-4.88,NO,5.435,NO,4.164,132.166,undefined,TSPETase,315,013
resultsDocking_TSPETase_303_C154-f2541-s14_PET_dimer_016_mini.yob,3.742,-4.829,NO,4.8,YES,3.08,22.626,undefined,TSPETase,303,016
resultsDocking_TSPETase_315_C155-f6632-s28_PET_dimer_013_mini.yob,3.743,-6.359,NO,4.715,NO,3.379,51.446,gauche,TSPETase,315,013
resultsDocking_WT_303_C408-f4171-s24_PET_dimer_015_mini.yob,3.743,-4.71,NO,4.174,NO,3.389,167.305,trans,WT,303,015
resultsDocking_S214H_315_C153-f8596-s10_PET_dimer_003_mini.yob,3.743,-5.47,YES,3.08,NO,4.841,41.133,undefined,S214H,315,003
resultsDocking_DuraPETase_303_C154-f3538-s19_PET_dimer_007_mini.yob,3.743,-5.345,NO,3.897,NO,3.579,45.711,undefined,DuraPETase,303,007
resultsDocking_WT_315_C107-f5045-s32_PET_dimer_013_mini.yob,3.744,-5.03,YES,3.239,NO,4.256,45.41,undefined,WT,315,013
resultsDocking_DuraPETase_315_C123-f3049-s25_PET_dimer_009_mini.yob,3.745,-5.608,NO,4.33,YES,2.934,94.177,undefined,DuraPETase,315,009
resultsDocking_DuraPETase_315_C340-f7659-s17_PET_dimer_015_mini.yob,3.745,-6.071,NO,4.2,NO,2.947,41.158,undefined,DuraPETase,315,015
resultsDocking_DuraPETase_303_C100-f7046-s36_PET_dimer_001_mini.yob,3.745,-6.597,NO,5.294,NO,3.802,76.239,gauche,DuraPETase,303,001
resultsDocking_S214H_303_C206-f1599-s58_PET_dimer_004_mini.yob,3.746,-6.981,NO,4.953,YES,2.921,65.182,gauche,S214H,303,004
resultsDocking_DuraPETase_315_C333-f7764-s34_PET_dimer_003_mini.yob,3.747,-4.884,NO,3.955,YES,2.81,24.586,undefined,DuraPETase,315,003
resultsDocking_DuraPETase_303_C129-f362-s30_PET_dimer_015_mini.yob,3.748,-5.929,NO,3.606,NO,4.075,75.082,gauche,DuraPETase,303,015
resultsDocking_WT_303_C447-f4650-s20_PET_dimer_004_mini.yob,3.748,-4.882,NO,4.705,YES,3.217,111.864,undefined,WT,303,004
resultsDocking_TSPETase_303_C137-f7100-s24_PET_dimer_003_mini.yob,3.748,-6.288,NO,3.596,NO,4.762,70.075,gauche,TSPETase,303,003
resultsDocking_WT_303_C211-f2026-s28_PET_dimer_007_mini.yob,3.749,-6.01,NO,4.929,YES,2.982,175.517,trans,WT,303,007
resultsDocking_TSPETase_315_C181-f2347-s20_PET_dimer_003_mini.yob,3.749,-5.432,NO,3.371,NO,5.254,43.846,undefined,TSPETase,315,003
resultsDocking_TSPETase_303_C172-f1288-s17_PET_dimer_007_mini.yob,3.749,-4.458,NO,5.351,NO,4.181,43.723,undefined,TSPETase,303,007
resultsDocking_DuraPETase_303_C100-f7046-s36_PET_dimer_007_mini.yob,3.749,-6.112,NO,5.193,NO,4.461,39.344,undefined,DuraPETase,303,007
resultsDocking_DuraPETase_303_C208-f5834-s21_PET_dimer_004_mini.yob,3.75,-6.132,NO,3.872,NO,4.127,54.307,gauche,DuraPETase,303,004
resultsDocking_DuraPETase_303_C145-f4499-s54_PET_dimer_007_mini.yob,3.75,-6.858,NO,3.755,NO,3.728,177.368,trans,DuraPETase,303,007
resultsDocking_S214H_315_C41-f2834-s26_PET_dimer_009_mini.yob,3.751,-4.871,NO,3.656,NO,4.371,80.117,gauche,S214H,315,009
resultsDocking_TSPETase_303_C255-f5239-s20_PET_dimer_005_mini.yob,3.751,-6.574,NO,4.688,YES,2.926,177.997,trans,TSPETase,303,005
resultsDocking_TSPETase_303_C119-f6033-s34_PET_dimer_006_mini.yob,3.751,-6.545,NO,4.586,YES,2.87,61.599,gauche,TSPETase,303,006
resultsDocking_DuraPETase_303_C194-f3611-s12_PET_dimer_002_mini.yob,3.751,-5.188,NO,5.402,NO,3.524,53.44,gauche,DuraPETase,303,002
resultsDocking_TSPETase_303_C116-f3143-s39_PET_dimer_016_mini.yob,3.752,-5.673,YES,3.105,NO,4.677,44.028,undefined,TSPETase,303,016
resultsDocking_DuraPETase_303_C212-f3185-s25_PET_dimer_012_mini.yob,3.752,-4.687,NO,4.474,YES,2.792,36.047,undefined,DuraPETase,303,012
