FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
58,NO,3.14,YES,1.874,3.888,-5.44,NO,4.993,NO,3.584,50.389,GAUCHE,-145.502,-77.962,-110.713,WT_Dimer_validated_mini00058.yob
59,NO,3.692,YES,1.788,3.826,-5.44,NO,5.007,NO,3.517,56.873,GAUCHE,-132.845,-68.13,-115.157,WT_Dimer_validated_mini00059.yob
60,YES,2.302,YES,1.935,3.943,-5.44,NO,4.948,NO,3.383,43.165,UNDEFINED,-158.754,-75.621,-119.614,WT_Dimer_validated_mini00060.yob
61,YES,1.967,YES,1.76,3.534,-5.44,NO,4.791,NO,3.229,38.485,UNDEFINED,-156.834,-67.891,-124.778,WT_Dimer_validated_mini00061.yob
62,NO,3.694,YES,1.929,3.765,-5.44,NO,5.308,YES,3.064,28.3,UNDEFINED,-143.505,-67.23,-118.222,WT_Dimer_validated_mini00062.yob
63,YES,2.338,YES,1.83,3.955,-5.44,NO,5.36,NO,3.909,59.176,GAUCHE,-154.448,-80.998,-126.852,WT_Dimer_validated_mini00063.yob
64,NO,2.371,YES,1.974,4.435,-5.44,NO,5.663,NO,3.414,28.39,UNDEFINED,-152.918,-84.782,-122.557,WT_Dimer_validated_mini00064.yob
65,YES,2.247,YES,1.96,3.354,-5.44,NO,4.063,YES,2.723,28.098,UNDEFINED,-151.631,-81.038,-122.132,WT_Dimer_validated_mini00065.yob
66,NO,3.904,YES,1.856,3.745,-5.44,NO,4.946,NO,3.257,41.084,UNDEFINED,-140.033,-61.225,-112.276,WT_Dimer_validated_mini00066.yob
67,NO,3.647,YES,1.932,4.037,-5.44,NO,5.493,NO,3.717,30.41,UNDEFINED,-135.191,-76.417,-110.561,WT_Dimer_validated_mini00067.yob
68,NO,3.887,YES,1.847,3.918,-5.44,NO,5.313,YES,3.275,42.263,UNDEFINED,-142.378,-86.379,-134.391,WT_Dimer_validated_mini00068.yob
69,NO,3.786,YES,1.815,3.686,-5.44,NO,5.36,NO,3.955,52.654,GAUCHE,-141.091,-67.511,-114.609,WT_Dimer_validated_mini00069.yob
70,NO,3.033,YES,1.924,3.936,-5.44,NO,5.752,YES,2.992,35.522,UNDEFINED,-149.725,-75.811,-139.314,WT_Dimer_validated_mini00070.yob
71,NO,3.84,YES,1.717,3.727,-5.44,NO,5.512,NO,3.325,11.133,UNDEFINED,-162.229,-81.492,-105.514,WT_Dimer_validated_mini00071.yob
72,NO,3.865,YES,1.956,3.724,-5.44,NO,5.114,NO,3.057,37.856,UNDEFINED,-151.888,-92.404,-112.957,WT_Dimer_validated_mini00072.yob
73,NO,3.674,YES,2.135,4.014,-5.44,NO,5.509,YES,3.196,38.95,UNDEFINED,-150.486,-73.672,-123.086,WT_Dimer_validated_mini00073.yob
74,NO,3.66,YES,1.735,3.717,-5.44,NO,5.303,YES,3.011,31.4,UNDEFINED,-150.433,-81.191,-120.579,WT_Dimer_validated_mini00074.yob
75,NO,3.661,YES,2.148,3.639,-5.44,NO,5.234,NO,3.257,35.088,UNDEFINED,-153.756,-76.335,-101.014,WT_Dimer_validated_mini00075.yob
76,NO,3.853,YES,1.823,3.776,-5.44,NO,5.427,NO,3.769,40.762,UNDEFINED,-158.041,-74.619,-107.17,WT_Dimer_validated_mini00076.yob
77,NO,3.493,NO,2.156,3.743,-5.44,NO,5.277,NO,3.368,39.958,UNDEFINED,-155.123,-79.263,-114.503,WT_Dimer_validated_mini00077.yob
78,NO,3.808,YES,1.862,3.8,-5.44,NO,5.195,NO,3.423,44.523,UNDEFINED,-143.422,-83.017,-111.613,WT_Dimer_validated_mini00078.yob
79,NO,3.599,YES,1.903,3.756,-5.44,NO,5.059,NO,3.485,56.496,GAUCHE,-153.968,-79.84,-109.275,WT_Dimer_validated_mini00079.yob
80,NO,3.331,YES,1.843,4.017,-5.44,NO,5.708,NO,3.289,36.793,UNDEFINED,-161.529,-74.279,-120.153,WT_Dimer_validated_mini00080.yob
81,NO,3.768,NO,1.814,3.742,-5.44,NO,5.067,NO,3.138,25.364,UNDEFINED,-163.199,-70.866,-106.014,WT_Dimer_validated_mini00081.yob
82,NO,3.763,NO,1.939,3.53,-5.44,NO,5.26,NO,3.295,49.258,UNDEFINED,-138.953,-68.876,-122.172,WT_Dimer_validated_mini00082.yob
83,YES,2.089,YES,1.92,3.233,-5.44,NO,3.975,YES,2.715,28.384,UNDEFINED,-145.977,-74.97,-108.471,WT_Dimer_validated_mini00083.yob
84,NO,2.281,YES,1.787,3.786,-5.44,NO,4.518,NO,2.924,44.555,UNDEFINED,-152.599,-73.163,-108.589,WT_Dimer_validated_mini00084.yob
85,YES,2.349,YES,1.875,3.912,-5.44,NO,4.853,YES,2.82,49.041,UNDEFINED,-152.803,-79.942,-135.475,WT_Dimer_validated_mini00085.yob
86,YES,1.841,YES,1.875,3.946,-5.44,NO,4.421,YES,3.105,54.114,GAUCHE,-156.212,-87.291,-124.808,WT_Dimer_validated_mini00086.yob
87,YES,2.139,YES,1.841,3.828,-5.44,NO,4.671,YES,3.081,41.325,UNDEFINED,-136.921,-76.179,-118.827,WT_Dimer_validated_mini00087.yob
88,YES,2.169,YES,1.775,4.495,-5.44,NO,5.529,NO,3.229,48.812,UNDEFINED,-146.711,-86.329,-118.504,WT_Dimer_validated_mini00088.yob
89,YES,1.972,YES,1.833,3.427,-5.44,NO,3.837,YES,2.699,25.409,UNDEFINED,-138.195,-85.47,-122.618,WT_Dimer_validated_mini00089.yob
90,NO,2.536,YES,1.935,3.63,-5.44,NO,4.592,YES,3.226,35.586,UNDEFINED,-143.149,-77.146,-124.553,WT_Dimer_validated_mini00090.yob
91,YES,1.993,YES,1.868,3.35,-5.44,NO,3.833,YES,2.913,41.776,UNDEFINED,-152.631,-80.781,-124.617,WT_Dimer_validated_mini00091.yob
92,NO,3.121,YES,1.887,3.881,-5.44,NO,4.729,YES,3.092,49.023,UNDEFINED,-120.759,-73.832,-107.986,WT_Dimer_validated_mini00092.yob
93,NO,3.264,NO,2.025,3.898,-5.44,NO,5.253,NO,3.208,50.747,GAUCHE,-156.706,-72.537,-105.333,WT_Dimer_validated_mini00093.yob
94,YES,2.12,YES,2.032,3.538,-5.44,NO,4.609,YES,3.04,63.187,GAUCHE,-125.727,-74.254,-109.397,WT_Dimer_validated_mini00094.yob
95,NO,2.567,YES,1.608,3.485,-5.44,NO,4.232,NO,3.33,67.576,GAUCHE,-152.015,-83.598,-127.013,WT_Dimer_validated_mini00095.yob
96,NO,4.012,YES,1.836,3.835,-5.44,NO,5.476,NO,4.192,54.879,GAUCHE,-132.523,-85.867,-132.27,WT_Dimer_validated_mini00096.yob
97,NO,3.507,YES,1.769,3.837,-5.44,NO,5.272,NO,3.146,80.283,GAUCHE,-148.319,-87.02,-113.3,WT_Dimer_validated_mini00097.yob
98,NO,3.795,NO,1.894,4.119,-5.44,NO,5.737,NO,3.537,90.288,UNDEFINED,-154.132,-71.803,-105.839,WT_Dimer_validated_mini00098.yob
99,NO,3.377,YES,1.824,3.808,-5.44,NO,5.121,NO,3.519,69.118,GAUCHE,-150.182,-78.009,-99.058,WT_Dimer_validated_mini00099.yob
100,NO,3.386,YES,1.824,3.863,-5.44,NO,5.219,NO,3.493,61.889,GAUCHE,-149.201,-87.632,-134.736,WT_Dimer_validated_mini00100.yob
101,NO,3.734,NO,1.772,3.737,-5.44,NO,5.35,NO,4.036,40.062,UNDEFINED,-137.905,-71.954,-107.598,WT_Dimer_validated_mini00101.yob
102,NO,3.608,YES,1.868,3.89,-5.44,NO,5.034,NO,3.389,55.223,GAUCHE,-142.554,-73.95,-110.34,WT_Dimer_validated_mini00102.yob
